No	Livre	Book	Vol	Series	Pages	Region	Type of Place	Place Raw	"Place Raw, Paris, France"	Quartier	Lat	Long	"Lat, Long"	Description	Types Involved	Characters (Full Name)	Characters (CSV)
1	La messe de l'athée	MA 	VII	La Comédie Humaine	89	Outer Left-Bank Faubourgs	Residence	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Water-carrier lives in the Saint-Jacques quarter		Water-carrier	Water-carrier
	La peau de chagrin	PC 	XXVII	La Comédie Humaine	211	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Mme Gaudin could purchase the whole Saint-Jacques quarter		Mme Gaudin	Mme Gaudin
	Les petits bourgeois	PB	XX	La Comédie Humaine	35	Outer Left-Bank Faubourgs	Residence	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Phéllion lives in the Saint-Jacques quarter		Phéllion	Phéllion
	Les petits bourgeois	PB	XX	La Comédie Humaine	38	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Barniol is held in esteem in the Saint-Jacques quarter		Barniol	Barniol
	Les petits bourgeois	PB	XX	La Comédie Humaine	54	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Théodose belonged to the poverty of the Saint-Jacques quarter		Théodose	Théodose
	Les petits bourgeois	PB	XX	La Comédie Humaine	56	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Théodose belonged to the poverty of the Saint-Jacques quarter		Théodose	Théodose
	Les petits bourgeois	PB	XX	La Comédie Humaine	112	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Théodose belonged to the poverty of the Saint-Jacques quarter		Théodose	Théodose
	Les petits bourgeois	PB	XX	La Comédie Humaine	128	Outer Left-Bank Faubourgs	Residence	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	House where Cérizet conducts his business is characteristic of the faubourg Saint-Jacques		Cérizet	Cérizet
	Petit dictionnaire critique des enseignes de Paris  	DE  	XXXVIII  	Enseignes de Paris	179	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Saint-Jacques Quarter			
	Le Bois de Boulogne et le Luxembourg	BBL 	XXXIX	La Comédie Humaine	54	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Saint-Jacques Quarter			
	Le Bois de Boulogne et le Luxembourg	BBL 	XXXIX	La Comédie Humaine	55	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Saint-Jacques Quarter			
	La grisette	G 	XXXIX 	La Comédie Humaine	277	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Description of the grisette	Grisette		
	La grisette	G 	XXXIX 	La Comédie Humaine	278	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Description of the grisette	Grisette		
	La grisette	G 	XXXIX 	La Comédie Humaine	279	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Description of the grisette	Grisette		
	Ferragus	F	XIII	La Comédie Humaine	84	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Description of the grisette	Grisette		
	Ferragus	F	XIII	La Comédie Humaine	85	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Description of the grisette	Grisette		
	Ferragus	F	XIII	La Comédie Humaine	86	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Description of the grisette	Grisette		
	Les petits bourgeois	PB	XX	La Comédie Humaine	10	Outer Left-Bank Faubourgs	Quarter	quartier Saint-Jacques	"quartier Saint-Jacques, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	The change in quarters at Saint-Jacques			
	L'envers de l'histoire contemporain	EHC 	XX	La Comédie Humaine	361	Outer Left-Bank Faubourgs	Region	Plaine de Montrouge	"Plaine de Montrouge, Paris, France"	Saint-Jacques	48.8172	2.3219	"48.8172, 2.3219"	Silk-worm industry in the plaine de Montrouge			
	Le père Goriot	PG 	VI	La Comédie Humaine	222	Outer Left-Bank Faubourgs	Region	Heights of Montrouge	"Heights of Montrouge, Paris, France"	Saint-Jacques	48.8172	2.3219	"48.8172, 2.3219"	Heights of Montrouge			
	Lettre aux écrivains du XIXe siècle	LE	I	Correspondence	483	Outer Left-Bank Faubourgs	Region	Plaine de Montrouge	"Plaine de Montrouge, Paris, France"	Saint-Jacques	48.8172	2.3219	"48.8172, 2.3219"	Plaines de Montrouge seen from the Jardies			
	Les cahiers Balzaciens	CB	VI	La Comédie Humaine	42	Outer Left-Bank Faubourgs	Region	Plaine de Montrouge	"Plaine de Montrouge, Paris, France"	Saint-Jacques	48.8172	2.3219	"48.8172, 2.3219"	Plaines de Montrouge seen from the Jardies			
	Lettre aux écrivains du XIXe siècle	LE 	I	Correspondence	483	Outer Left-Bank Faubourgs	Road	Orleans Road	"Orleans Road, Paris, France"	Saint-Jacques	48.846667	2.343333	"48.846667, 2.343333"	Orléans road			
	Les petits bourgeois	PB	XX	La Comédie Humaine	6	Outer Left-Bank Faubourgs	Quarter	Quartier d'Enfer	"Quartier d'Enfer, Paris, France"	Saint-Jacques	48.851907	2.344143	"48.851907, 2.344143"	Time when the Enfer quarter enjoyed favor			
	Un début dans la vie	DV 	II	La Comédie Humaine	358	Outer Left-Bank Faubourgs	Quarter	Monparnasse	"Monparnasse, Paris, France"	Montparnasse 	48.8431549	2.3241911	"48.8431549, 2.3241911"	Montparnasse			
	Ferragus	F	XIII	La Comédie Humaine	148	Outer Left-Bank Faubourgs	Quarter	Monparnasse quarter	"Monparnasse quarter, Paris, France"	Montparnasse 	48.8431549	2.3241911	"48.8431549, 2.3241911"	Description of a part of the Montparnasse quarter			
	Petit dictionnaire critique des enseignes de Paris 	DE 	XXXVIII	Enseignes de Paris	190	Outer Left-Bank Faubourgs	Quarter	Monparnasse quarter	"Monparnasse quarter, Paris, France"	Montparnasse 	48.8431549	2.3241911	"48.8431549, 2.3241911"	Description of a part of the Montparnasse quarter			
	Une rue de Paris et son habitant	RP 	XL	Oeuvres diverses	637	Outer Left-Bank Faubourgs	Quarter	Duguay-Trouiu quarter	"Duguay-Trouiu quarter, Paris, France"	Duguay-Trouiu quarter	48.846374	2.329996	"48.846374, 2.329996"	Duguay-Trouiu quarter described			
	Une rue de Paris et son habitant	RP 	XL	Oeuvres diverses	638	Outer Left-Bank Faubourgs	Quarter	Duguay-Trouiu quarter	"Duguay-Trouiu quarter, Paris, France"	Duguay-Trouiu quarter	48.846374	2.329996	"48.846374, 2.329996"	Duguay-Trouiu quarter described			
	Une rue de Paris et son habitant	RP 	XL	Oeuvres diverses	642	Outer Left-Bank Faubourgs	Quarter	Duguay-Trouiu quarter	"Duguay-Trouiu quarter, Paris, France"	Duguay-Trouiu quarter	48.846374	2.329996	"48.846374, 2.329996"	Duguay-Trouiu quarter described			
	Une rue de Paris et son habitant	RP 	XL	Oeuvres diverses	643	Outer Left-Bank Faubourgs	Quarter	Duguay-Trouiu quarter	"Duguay-Trouiu quarter, Paris, France"	Duguay-Trouiu quarter	48.846374	2.329996	"48.846374, 2.329996"	Duguay-Trouiu quarter described			
	Jean-Louis	JL 		La Comédie Humaine	37	Outer Left-Bank Faubourgs	Quarter	The Gros-Caillou	"The Gros-Caillou, Paris, France"	Saint-Jacques	48.8583298	2.2990401	"48.8583298, 2.2990401"	The Gros-Caillou			
	Le centenaire	Cent		La Comédie Humaine	43	Outer Left-Bank Faubourgs	Quarter	The Gros-Caillou	"The Gros-Caillou, Paris, France"	Saint-Jacques	48.8583298	2.2990401	"48.8583298, 2.2990401"	The Gros-Caillou			
	Le centenaire	Cent		La Comédie Humaine	44	Outer Left-Bank Faubourgs	Quarter	The Gros-Caillou	"The Gros-Caillou, Paris, France"	Saint-Jacques	48.8583298	2.2990401	"48.8583298, 2.2990401"	The Gros-Caillou			
	La cousine Bette	B 	XVII	La Comédie Humaine	114	Outer Left-Bank Faubourgs	Quarter	The Gros-Caillou	"The Gros-Caillou, Paris, France"	Saint-Jacques	48.8583298	2.2990401	"48.8583298, 2.2990401"	Hulot promises Steinbock an atelier at Gros-Caillou		Hulot::Steinbock	"Hulot, Steinbock"
	La cousine Bette	B 	XVII	La Comédie Humaine	119	Outer Left-Bank Faubourgs	Quarter	The Gros-Caillou	"The Gros-Caillou, Paris, France"	Saint-Jacques	48.8583298	2.2990401	"48.8583298, 2.2990401"	Hulot promises Steinbock an atelier at Gros-Caillou		Hulot::Steinbock	"Hulot, Steinbock"
	La cousine Bette	B 	XVII	La Comédie Humaine	241	Outer Left-Bank Faubourgs	Quarter	The Gros-Caillou	"The Gros-Caillou, Paris, France"	Saint-Jacques	48.8583298	2.2990401	"48.8583298, 2.2990401"	Hulot promises Steinbock an atelier at Gros-Caillou		Hulot::Steinbock	"Hulot, Steinbock"
	La cousine Bette	B 	XVII	La Comédie Humaine	278	Outer Left-Bank Faubourgs	Quarter	The Gros-Caillou	"The Gros-Caillou, Paris, France"	Saint-Jacques	48.8583298	2.2990401	"48.8583298, 2.2990401"	Hulot promises Steinbock an atelier at Gros-Caillou		Hulot::Steinbock	"Hulot, Steinbock"
	La muse du département	MD]M	I	La Comédie Humaine	373	Outer Left-Bank Faubourgs	Park	Saint-Cloud park	"Saint-Cloud park, Paris, France"	Saint-Cloud	48.82845	2.218867	"48.82845, 2.218867"	Saint-Cloud park			
	Correspondence	C	II 	Correspondence	13	Outer Left-Bank Faubourgs	Park	Saint-Cloud park	"Saint-Cloud park, Paris, France"	Saint-Cloud	48.82845	2.218867	"48.82845, 2.218867"	Saint-Cloud park			
	Lettre aux écrivains du XIXe siècle	LE	I	Correspondence	484	Outer Left-Bank Faubourgs	Park	Saint-Cloud park	"Saint-Cloud park, Paris, France"	Saint-Cloud	48.82845	2.218867	"48.82845, 2.218867"	Saint-Cloud park			
	Lettre aux écrivains du XIXe siècle	LE 	I	Correspondence	483	Outer Left-Bank Faubourgs	Hill	Saint-Cloud hill	"Saint-Cloud hill, Paris, France"	Saint-Cloud	48.82845	2.218867	"48.82845, 2.218867"	Saint-Cloud hill			
	Le centenaire	Cent	 	La Comédie Humaine	59	Outer Left-Bank Faubourgs	Burial Place	The catacombs	"The catacombs, Paris, France"		48.8337708	2.3334301	"48.8337708, 2.3334301"	The catacombs			
	Le centenaire	Cent	 	La Comédie Humaine	61	Outer Left-Bank Faubourgs	Burial Place	The catacombs	"The catacombs, Paris, France"		48.8337708	2.3334301	"48.8337708, 2.3334301"	The catacombs			
	Le centenaire	Cent	 	La Comédie Humaine	64	Outer Left-Bank Faubourgs	Burial Place	The catacombs	"The catacombs, Paris, France"		48.8337708	2.3334301	"48.8337708, 2.3334301"	The catacombs			
	Terme d'Avril	TA 	XXXIX	La Comédie Humaine	516	Outer Left-Bank Faubourgs	Street	rue de la Bourbe	"rue de la Bourbe, Paris, France"		48.839186	2.339237	"48.839186, 2.339237"	The rue de Ia Bourbe			
	Correspondence inédite avec Mme Zulma Carraud	CIZC 	 	Correspondence	122	Outer Left-Bank Faubourgs	Residence	rue Cassini	"rue Cassini, Paris, France"		48.837198	2.33694	"48.837198, 2.33694"	Borget in the rue Cassini (1833)		Borget	Borget
	Les cahiers Balzaciens	CB 	I	La Comédie Humaine	5	Outer Left-Bank Faubourgs	Residence	rue Cassini	"rue Cassini, Paris, France"		48.837198	2.33694	"48.837198, 2.33694"	Baizac in the rue Cassini (1832)			
	Les cahiers Balzaciens	CB 	I	La Comédie Humaine	17	Outer Left-Bank Faubourgs	Residence	rue Cassini	"rue Cassini, Paris, France"		48.837198	2.33694	"48.837198, 2.33694"	Baizac in the rue Cassini (1832)			
	Les cahiers Balzaciens	CB 	VI	La Comédie Humaine	31	Outer Left-Bank Faubourgs	Residence	rue Cassini	"rue Cassini, Paris, France"		48.837198	2.33694	"48.837198, 2.33694"	Baizac in the rue Cassini (1835)			
	Lettre aux écrivains du XIXe siècle	LE	I	Correspondence	353	Outer Left-Bank Faubourgs	Residence	rue Cassini	"rue Cassini, Paris, France"		48.837198	2.33694	"48.837198, 2.33694"	Baizac no longer in the rue Cassini (1837)			
	Lettre aux écrivains du XIXe siècle	LE	I	Correspondence	415	Outer Left-Bank Faubourgs	Residence	rue Cassini	"rue Cassini, Paris, France"		48.837198	2.33694	"48.837198, 2.33694"	Baizac no longer in the rue Cassini (1837)			
	Lettre aux écrivains du XIXe siècle	LE	I	Correspondence	483	Outer Left-Bank Faubourgs	Residence	rue Cassini	"rue Cassini, Paris, France"		48.837198	2.33694	"48.837198, 2.33694"	Baizac no longer in the rue Cassini (1837)			
	Correspondence 	C	I	Correspondence	345	Outer Left-Bank Faubourgs	Residence	rue Cassini	"rue Cassini, Paris, France"		48.837198	2.33694	"48.837198, 2.33694"	Baizac no longer in the rue Cassini (1837)			
	La maison Nucingen 	MN 	XIV	La Comédie Humaine	389	Outer Left-Bank Faubourgs	Residence	rue du Cherche-Midi	"rue du Cherche-Midi, Paris, France"		48.848027	2.323698	"48.848027, 2.323698"	The Matifats live in the rue du Cherche-Midi		Matifats	Matifats
	La maison Nucingen 	MN 	XIV	La Comédie Humaine	390	Outer Left-Bank Faubourgs	Residence	rue du Cherche-Midi	"rue du Cherche-Midi, Paris, France"		48.848027	2.323698	"48.848027, 2.323698"	The Matifats live in the rue du Cherche-Midi		Matifats	Matifats
	La maison Nucingen 	MN 	XIV	La Comédie Humaine	417	Outer Left-Bank Faubourgs	Residence	rue du Cherche-Midi	"rue du Cherche-Midi, Paris, France"		48.848027	2.323698	"48.848027, 2.323698"	The Matifats live in the rue du Cherche-Midi		Matifats	Matifats
	Terme d'Avril	TA 	XXXIX	La Comédie Humaine	516	Outer Left-Bank Faubourgs	Street	rue du Cherche-Midi	"rue du Cherche-Midi, Paris, France"		48.848027	2.323698	"48.848027, 2.323698"	The rue du Cherche-Midi			
	Une rue de Paris et son habitant	RP 	XL	Oeuvres diverses	637	Outer Left-Bank Faubourgs	Street	rue Duguay-Trouin	"rue Duguay-Trouin, Paris, France"	Duguay-Trouiu quarter	48.846374	2.329996	"48.846374, 2.329996"	Description of the rue Duguay-Trouin			
	Une rue de Paris et son habitant	RP 	XL	Oeuvres diverses	642	Outer Left-Bank Faubourgs	Street	rue Duguay-Trouin	"rue Duguay-Trouin, Paris, France"	Duguay-Trouiu quarter	48.846374	2.329996	"48.846374, 2.329996"	Description of the rue Duguay-Trouin			
	Une rue de Paris et son habitant	RP 	XL	Oeuvres diverses	643	Outer Left-Bank Faubourgs	Street	rue Duguay-Trouin	"rue Duguay-Trouin, Paris, France"	Duguay-Trouiu quarter	48.846374	2.329996	"48.846374, 2.329996"	Description of the rue Duguay-Trouin			
	La rabouilleuse	R 	IX	La Comédie Humaine	355	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	Agathe and Joseph pass through the rue d’Enfer in the stagecoach		Agathe::Joseph	"Agathe, Joseph"
	Pierrette	P 	XII	La Comédie Humaine	363	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	Lucien takes a one-horse chaise in the rue d’Enfer		Lucien	Lucien
	L'envers de l'histoire contemporain	EHC 	XX	La Comédie Humaine	353	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	Doctor Berton lives in the rue d’Enfer		Doctor Berton	Doctor Berton
	L'envers de l'histoire contemporain	EHC 	XX	La Comédie Humaine	355	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	Doctor Berton lives in the rue d’Enfer		Doctor Berton	Doctor Berton
	L'envers de l'histoire contemporain	EHC 	XX	La Comédie Humaine	375	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	Doctor Berton lives in the rue d’Enfer		Doctor Berton	Doctor Berton
	L'envers de l'histoire contemporain	EHC 	XX	La Comédie Humaine	451	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	Doctor Berton lives in the rue d’Enfer		Doctor Berton	Doctor Berton
	La cousine Bette	B 	XVII	La Comédie Humaine	159	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	Haymarket in the rue d’Enfer			
	Les petits bourgeois	PB	XX	La Comédie Humaine	32	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	Mlle Collevile moves to the rue d’Enfer in 1833		Mlle Colleville	Mlle Colleville
	Les petits bourgeois	PB	XX	La Comédie Humaine	71	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	Mlle Collevile moves to the rue d’Enfer in 1833		Mlle Colleville	Mlle Colleville
	Les petits bourgeois	PB	XX	La Comédie Humaine	73	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	Mlle Collevile moves to the rue d’Enfer in 1833		Mlle Colleville	Mlle Colleville
	Les petits bourgeois	PB	XX	La Comédie Humaine	74	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	Mlle Collevile moves to the rue d’Enfer in 1833		Mlle Colleville	Mlle Colleville
	Petit dictionnaire critique des enseignes de Paris	DE	XXXVIII	Enseignes de Paris	195	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	"A Ia Providence, Nant, grocer, rue d’Enfer"		Nant	Nant
	L'envers de l'histoire contemporain	EHC 	XX 	La Comédie Humaine	375	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	"A Ia Providence, Nant, grocer, rue d’Enfer"		Nant	Nant
	Les petits bourgeois	PB	XX	La Comédie Humaine	5	Outer Left-Bank Faubourgs	Street	rue d’Enfer	"rue d’Enfer, Paris, France"	Sorbonne	48.851907	2.344143	"48.851907, 2.344143"	"A Ia Providence, Nant, grocer, rue d’Enfer"		Nant	Nant
	Ferragus	F	XIII	La Comédie Humaine	149	Outer Left-Bank Faubourgs	Street	rue de l’Est	"rue de l’Est, Paris, France"	Faubourg Saint-Jacques	48.870978	2.394198	"48.870978, 2.394198"	Jules follows the rue de l’Est		Jules	Jules
	Le centenaire	Cent	 	La Comédie Humaine	52	Outer Left-Bank Faubourgs	Street	rue du Faubourg Saint-Jacques	"rue du Faubourg Saint-Jacques, Paris, France"	Faubourg Saint-Jacques	48.836743	2.338293	"48.836743, 2.338293"	The rue du Faubourg-Saint-Jacques			
	Le centenaire	Cent	 	La Comédie Humaine	58	Outer Left-Bank Faubourgs	Street	rue du Faubourg Saint-Jacques	"rue du Faubourg Saint-Jacques, Paris, France"	Faubourg Saint-Jacques	48.836743	2.338293	"48.836743, 2.338293"	The rue du Faubourg-Saint-Jacques			
	Les petits bourgeois	PB	XX	La Comédie Humaine	96	Outer Left-Bank Faubourgs	Street	rue du Faubourg Saint-Jacques	"rue du Faubourg Saint-Jacques, Paris, France"	Faubourg Saint-Jacques	48.836743	2.338293	"48.836743, 2.338293"	Théodose follows the rue du Faubourg Saint-Jacques		Théodose	Théodose
	Les employés	E 	XIX	La Comédie Humaine	94	Outer Left-Bank Faubourgs	Residence	rue du Faubourg Saint-Jacques	"rue du Faubourg Saint-Jacques, Paris, France"	Faubourg Saint-Jacques	48.836743	2.338293	"48.836743, 2.338293"	Phellion lives in the rue du Faubourg Saint-Jacques		Phellion	Phellion
	Le centenaire	Cent	 	La Comédie Humaine	47	Outer Left-Bank Faubourgs	Quarter	rue du Faubourg Saint-Jacques	"rue du Faubourg Saint-Jacques, Paris, France"	Faubourg Saint-Jacques	48.836743	2.338293	"48.836743, 2.338293"	Faubourg Saint-Jacques			
	Le centenaire	Cent	 	La Comédie Humaine	48	Outer Left-Bank Faubourgs	Quarter	rue du Faubourg Saint-Jacques	"rue du Faubourg Saint-Jacques, Paris, France"	Faubourg Saint-Jacques	48.836743	2.338293	"48.836743, 2.338293"	Faubourg Saint-Jacques			
	Le centenaire	Cent	 	La Comédie Humaine	57	Outer Left-Bank Faubourgs	Quarter	rue du Faubourg Saint-Jacques	"rue du Faubourg Saint-Jacques, Paris, France"	Faubourg Saint-Jacques	48.836743	2.338293	"48.836743, 2.338293"	Faubourg Saint-Jacques			
	Le centenaire	Cent	 	La Comédie Humaine	58	Outer Left-Bank Faubourgs	Quarter	rue du Faubourg Saint-Jacques	"rue du Faubourg Saint-Jacques, Paris, France"	Faubourg Saint-Jacques	48.836743	2.338293	"48.836743, 2.338293"	Faubourg Saint-Jacques			
	Lettre aux écrivains du XIXe siècle	LE 	III	Correspondence	167	Outer Left-Bank Faubourgs	Residence	rue du Montparnasse	"rue du Montparnasse, Paris, France"	Faubourg Saint-Jacques	48.843198	2.326484	"48.843198, 2.326484"	Balzac goes to see a house in the rue du Montparnasse			
	Lettre aux écrivains du XIXe siècle	LE 	III	Correspondence	170	Outer Left-Bank Faubourgs	Residence	rue du Montparnasse	"rue du Montparnasse, Paris, France"	Faubourg Saint-Jacques	48.843198	2.326484	"48.843198, 2.326484"	Balzac goes to see a house in the rue du Montparnasse			
	Lettre aux écrivains du XIXe siècle	LE 	III	Correspondence	171	Outer Left-Bank Faubourgs	Residence	rue du Montparnasse	"rue du Montparnasse, Paris, France"	Faubourg Saint-Jacques	48.843198	2.326484	"48.843198, 2.326484"	Balzac goes to see a house in the rue du Montparnasse			
	Lettre aux écrivains du XIXe siècle	LE 	III	Correspondence	172	Outer Left-Bank Faubourgs	Residence	rue du Montparnasse	"rue du Montparnasse, Paris, France"	Faubourg Saint-Jacques	48.843198	2.326484	"48.843198, 2.326484"	Balzac goes to see a house in the rue du Montparnasse			
	La cousine Bette	B 	XVII	La Comédie Humaine	356	Outer Left-Bank Faubourgs	Residence	rue du Montparnasse	"rue du Montparnasse, Paris, France"	Faubourg Saint-Jacques	48.843198	2.326484	"48.843198, 2.326484"	Marshal Hulot has a house in the rue du Montparnasse		Marshal Hulot	Marshal Hulot
	La cousine Bette	B 	XVII	La Comédie Humaine	357	Outer Left-Bank Faubourgs	Residence	rue du Montparnasse	"rue du Montparnasse, Paris, France"	Faubourg Saint-Jacques	48.843198	2.326484	"48.843198, 2.326484"	Marshal Hulot has a house in the rue du Montparnasse		Marshal Hulot	Marshal Hulot
	Les employés	E 	XIX	La Comédie Humaine	94	Outer Left-Bank Faubourgs	School	rue Notre-Dame-des-Champs	"rue Notre-Dame-des-Champs, Paris, France"		48.844259	2.330231	"48.844259, 2.330231"	Phellion dines in a school in the rue Notre-Dame-des-Champs		Phellion	Phellion
	L'envers de l'histoire contemporain	EHC 	XX	La Comédie Humaine	351	Outer Left-Bank Faubourgs	Residence	rue Notre-Dame-des-Champs	"rue Notre-Dame-des-Champs, Paris, France"		48.844259	2.330231	"48.844259, 2.330231"	The Bourlacs live in the rue Notre-Dame-des-Champs		Bourlacs	Bourlacs
	L'envers de l'histoire contemporain	EHC 	XX	La Comédie Humaine	353	Outer Left-Bank Faubourgs	Residence	rue Notre-Dame-des-Champs	"rue Notre-Dame-des-Champs, Paris, France"		48.844259	2.330231	"48.844259, 2.330231"	The Bourlacs live in the rue Notre-Dame-des-Champs		Bourlacs	Bourlacs
	L'envers de l'histoire contemporain	EHC 	XX	La Comédie Humaine	358	Outer Left-Bank Faubourgs	Residence	rue Notre-Dame-des-Champs	"rue Notre-Dame-des-Champs, Paris, France"		48.844259	2.330231	"48.844259, 2.330231"	The Bourlacs live in the rue Notre-Dame-des-Champs		Bourlacs	Bourlacs
	L'envers de l'histoire contemporain	EHC 	XX	La Comédie Humaine	362	Outer Left-Bank Faubourgs	Residence	rue Notre-Dame-des-Champs	"rue Notre-Dame-des-Champs, Paris, France"		48.844259	2.330231	"48.844259, 2.330231"	The Bourlacs live in the rue Notre-Dame-des-Champs		Bourlacs	Bourlacs
	L'envers de l'histoire contemporain	EHC 	XX	La Comédie Humaine	381	Outer Left-Bank Faubourgs	Residence	rue Notre-Dame-des-Champs	"rue Notre-Dame-des-Champs, Paris, France"		48.844259	2.330231	"48.844259, 2.330231"	The Bourlacs live in the rue Notre-Dame-des-Champs		Bourlacs	Bourlacs
	L'envers de l'histoire contemporain	EHC 	XX	La Comédie Humaine	435	Outer Left-Bank Faubourgs	Residence	rue Notre-Dame-des-Champs	"rue Notre-Dame-des-Champs, Paris, France"		48.844259	2.330231	"48.844259, 2.330231"	The Bourlacs live in the rue Notre-Dame-des-Champs		Bourlacs	Bourlacs
	L'envers de l'histoire contemporain	EHC 	XX	La Comédie Humaine	449	Outer Left-Bank Faubourgs	Residence	rue Notre-Dame-des-Champs	"rue Notre-Dame-des-Champs, Paris, France"		48.844259	2.330231	"48.844259, 2.330231"	The Bourlacs live in the rue Notre-Dame-des-Champs		Bourlacs	Bourlacs
	Monographie de la presse parisienne	MPP 	XL	Oeuvres diverses	594	Outer Left-Bank Faubourgs	Street	rue Notre-Dame-des-Champs	"rue Notre-Dame-des-Champs, Paris, France"		48.844259	2.330231	"48.844259, 2.330231"	The Bourlacs live in the rue Notre-Dame-des-Champs		Bourlacs	Bourlacs
	Illusions perdues	IP	XII	La Comédie Humaine	100	Outer Left-Bank Faubourgs	Street	rue de l'Ouest	"rue de l'Ouest, Paris, France"		48.835857	2.318825	"48.835857, 2.318825"	Description of the rue de I’Ouest			
	Illusions perdues	IP	XII	La Comédie Humaine	101	Outer Left-Bank Faubourgs	Street	rue de l'Ouest	"rue de l'Ouest, Paris, France"		48.835857	2.318825	"48.835857, 2.318825"	Description of the rue de I’Ouest			
